sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:1247122	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5111469	Canoga			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247131	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5111469	Canoga			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247170	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5111469	Canoga			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247178	Solidago altissima	RO:0002434	interacts with	EOL:3697969	Pubilia	GEONAMES:5111469	Canoga			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247206	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5111469	Canoga			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247106	Solidago altissima	RO:0002434	interacts with	EOL:552	Aphididae	GEONAMES:5128638	Aurora			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247113	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5128639	Aurora			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247130	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128640	Aurora			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247153	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128641	Aurora			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247185	Solidago altissima	RO:0002434	interacts with	EOL:46829	Sparganothis	GEONAMES:5128642	Aurora			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247191	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128643	Aurora			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247116	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5128644	Aurora - Gooney Corners Rd.			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247129	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128645	Aurora - Gooney Corners Rd.			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247163	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128646	Aurora - Gooney Corners Rd.			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247176	Solidago altissima	RO:0002434	interacts with	EOL:3697969	Pubilia	GEONAMES:5128647	Aurora - Gooney Corners Rd.			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247203	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128648	Aurora - Gooney Corners Rd.			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247111	Solidago altissima	RO:0002434	interacts with	EOL:552	Aphididae	GEONAMES:5128649	Brookshead - Upper Meadow			3-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247160	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128650	Brookshead - Upper Meadow			3-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247186	Solidago altissima	RO:0002434	interacts with	EOL:46829	Sparganothis	GEONAMES:5128651	Brookshead - Upper Meadow			3-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247189	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128652	Brookshead - Upper Meadow			3-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247115	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5128653	Fayette			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247142	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128654	Fayette			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247161	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128655	Fayette			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247207	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128656	Fayette			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247121	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5128657	Fowler Farm			9-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247136	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128658	Fowler Farm			9-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247149	Solidago altissima	RO:0002434	interacts with	EOL:110280	Ophraella	GEONAMES:5128659	Fowler Farm			9-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247157	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128660	Fowler Farm			9-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247202	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128661	Fowler Farm			9-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247124	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5128662	Gowan Farm			3-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247166	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128663	Gowan Farm			3-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247196	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128664	Gowan Farm			3-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247105	Solidago altissima	RO:0002434	interacts with	EOL:552	Aphididae	GEONAMES:5128665	Hector			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247167	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128666	Hector			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247204	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128667	Hector			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247108	Solidago altissima	RO:0002434	interacts with	EOL:552	Aphididae	GEONAMES:5128668	Lodi Center Rd.			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247117	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5128669	Lodi Center Rd.			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247198	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128670	Lodi Center Rd.			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247112	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5128671	McLean Bog			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247132	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128672	McLean Bog			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247145	Solidago altissima	RO:0002434	interacts with	EOL:110280	Ophraella	GEONAMES:5128673	McLean Bog			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247156	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128674	McLean Bog			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247174	Solidago altissima	RO:0002434	interacts with	EOL:3697969	Pubilia	GEONAMES:5128675	McLean Bog			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247180	Solidago altissima	RO:0002434	interacts with	EOL:46829	Sparganothis	GEONAMES:5128676	McLean Bog			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247197	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128677	McLean Bog			5-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247118	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5128678	Mecklenburg			1-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247140	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128679	Mecklenburg			1-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247158	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128680	Mecklenburg			1-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247177	Solidago altissima	RO:0002434	interacts with	EOL:3697969	Pubilia	GEONAMES:5128681	Mecklenburg			1-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247205	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128682	Mecklenburg			1-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247126	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5128683	Montezuma East			2-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247135	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128684	Montezuma East			2-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247168	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128685	Montezuma East			2-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247182	Solidago altissima	RO:0002434	interacts with	EOL:46829	Sparganothis	GEONAMES:5128686	Montezuma East			2-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247208	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128687	Montezuma East			2-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247109	Solidago altissima	RO:0002434	interacts with	EOL:552	Aphididae	GEONAMES:5128688	Moravia Golf Course			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247114	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5128689	Moravia Golf Course			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247128	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128690	Moravia Golf Course			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247146	Solidago altissima	RO:0002434	interacts with	EOL:110280	Ophraella	GEONAMES:5128691	Moravia Golf Course			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247155	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128692	Moravia Golf Course			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247179	Solidago altissima	RO:0002434	interacts with	EOL:3697969	Pubilia	GEONAMES:5128693	Moravia Golf Course			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247195	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128694	Moravia Golf Course			10-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247120	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5128695	Neimi Farm			9-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247137	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128696	Neimi Farm			9-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247150	Solidago altissima	RO:0002434	interacts with	EOL:110280	Ophraella	GEONAMES:5128697	Neimi Farm			9-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247172	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128698	Neimi Farm			9-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247188	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128699	Neimi Farm			9-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247133	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128700	Richford Hill			3-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247162	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128701	Richford Hill			3-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247173	Solidago altissima	RO:0002434	interacts with	EOL:3697969	Pubilia	GEONAMES:5128702	Richford Hill			3-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247183	Solidago altissima	RO:0002434	interacts with	EOL:46829	Sparganothis	GEONAMES:5128703	Richford Hill			3-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247199	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128704	Richford Hill			3-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247110	Solidago altissima	RO:0002434	interacts with	EOL:552	Aphididae	GEONAMES:5128705	Seneca Lake - Sampson			2-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247123	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5128706	Seneca Lake - Sampson			2-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247144	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128707	Seneca Lake - Sampson			2-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247171	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128708	Seneca Lake - Sampson			2-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247190	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128709	Seneca Lake - Sampson			2-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247125	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5128710	Taughannock Lower Meadow			1-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247134	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128711	Taughannock Lower Meadow			1-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247152	Solidago altissima	RO:0002434	interacts with	EOL:110280	Ophraella	GEONAMES:5128712	Taughannock Lower Meadow			1-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247159	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128713	Taughannock Lower Meadow			1-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247201	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128714	Taughannock Lower Meadow			1-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247119	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5128715	Taughannock Upper			1-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247141	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128716	Taughannock Upper			1-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247164	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128717	Taughannock Upper			1-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247184	Solidago altissima	RO:0002434	interacts with	EOL:46829	Sparganothis	GEONAMES:5128718	Taughannock Upper			1-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247200	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128719	Taughannock Upper			1-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247107	Solidago altissima	RO:0002434	interacts with	EOL:552	Aphididae	GEONAMES:5128720	Whipple - Long Meadow			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247127	Solidago altissima	RO:0002434	interacts with	EOL:110418	Exema	GEONAMES:5128721	Whipple - Long Meadow			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247138	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128722	Whipple - Long Meadow			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247151	Solidago altissima	RO:0002434	interacts with	EOL:110280	Ophraella	GEONAMES:5128723	Whipple - Long Meadow			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247154	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128724	Whipple - Long Meadow			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247175	Solidago altissima	RO:0002434	interacts with	EOL:3697969	Pubilia	GEONAMES:5128725	Whipple - Long Meadow			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247181	Solidago altissima	RO:0002434	interacts with	EOL:46829	Sparganothis	GEONAMES:5128726	Whipple - Long Meadow			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247192	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128727	Whipple - Long Meadow			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247139	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128728	Whipple - Messenia Meados			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247147	Solidago altissima	RO:0002434	interacts with	EOL:110280	Ophraella	GEONAMES:5128729	Whipple - Messenia Meados			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247165	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128730	Whipple - Messenia Meados			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247193	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128731	Whipple - Messenia Meados			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247143	Solidago altissima	RO:0002434	interacts with	EOL:89354	Microrhopala	GEONAMES:5128732	Whipple Meadow NE of E Plot			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247148	Solidago altissima	RO:0002434	interacts with	EOL:110280	Ophraella	GEONAMES:5128733	Whipple Meadow NE of E Plot			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247169	Solidago altissima	RO:0002434	interacts with		Philaneus	GEONAMES:5128734	Whipple Meadow NE of E Plot			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247187	Solidago altissima	RO:0002434	interacts with	EOL:46829	Sparganothis	GEONAMES:5128735	Whipple Meadow NE of E Plot			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
EOL:1247194	Solidago altissima	RO:0002434	interacts with	EOL:35068	Trirhabda	GEONAMES:5128736	Whipple Meadow NE of E Plot			4-Jun-81		Root R. Insect Herbivores on Goldenrods (Solidago altissima) in the Finger Lakes Region, New York, USA (Dick_Root.7.13)
